date,high,low,opening_price,closing_price,volume
08-10-12 0:00,8.9,7.8,8.5,8,1026500
07-10-12 0:00,9.8,8.5,9.8,8.5,1353000
04-10-12 0:00,9.9,8.5,9,9.4,2253500
03-10-12 0:00,10.3,9.2,10.3,9.3,4667500
02-10-12 0:00,9.4,8.9,9,9.4,3346000
01-10-12 0:00,8.8,8,8,8.6,1536500
30-09-12 0:00,8.9,8.3,8.6,8.3,1180000
27-09-12 0:00,8.8,8.1,8.1,8.5,1529500
26-09-12 0:00,8.8,8.1,8.4,8.2,1344000
25-09-12 0:00,8.4,7.7,8.4,8.1,1231000
24-09-12 0:00,8.8,7.9,8.5,8,1173000
23-09-12 0:00,8.6,8.1,8.2,8.6,1751500
20-09-12 0:00,8,7,7.3,7.9,2628000
19-09-12 0:00,7.3,6.8,7,7.3,1008000
18-09-12 0:00,6.8,6.3,6.4,6.7,797500
17-09-12 0:00,6.3,5.8,5.8,6.2,623500
16-09-12 0:00,6,5.4,5.7,5.8,371500
13-09-12 0:00,5.7,5.4,5.5,5.6,97000
12-09-12 0:00,5.6,5.4,5.5,5.5,78500
11-09-12 0:00,5.6,5.4,5.4,5.5,49000
10-09-12 0:00,5.6,5.4,5.4,5.5,85500
09-09-12 0:00,5.7,5.4,5.6,5.5,212500
06-09-12 0:00,5.7,5.6,5.6,5.6,78000
05-09-12 0:00,5.8,5.7,5.7,5.7,83000
04-09-12 0:00,5.9,5.7,5.7,5.7,174000
03-09-12 0:00,5.9,5.7,5.7,5.7,100500
02-09-12 0:00,5.9,5.6,5.6,5.7,56500
30-08-12 0:00,5.9,5.6,5.6,5.7,83500
29-08-12 0:00,5.9,5.6,5.7,5.7,247000
28-08-12 0:00,5.7,5.5,5.6,5.6,257000
27-08-12 0:00,5.9,5.6,5.7,5.7,78500
26-08-12 0:00,5.9,5.5,5.7,5.6,236500
14-08-12 0:00,5.8,5.5,5.7,5.7,96000
13-08-12 0:00,5.9,5.6,5.6,5.8,204500
12-08-12 0:00,6.2,6,6,6.1,263500
08-08-12 0:00,6.1,5.9,6,5.9,93000
07-08-12 0:00,6.2,6,6.1,6,103500
06-08-12 0:00,6.2,6.1,6.2,6.1,133500
05-08-12 0:00,6.2,6.1,6.2,6.1,57000
02-08-12 0:00,6.4,6.1,6.3,6.1,211500
01-08-12 0:00,6.4,6.2,6.3,6.3,61500
30-07-12 0:00,6.4,6.3,6.3,6.3,32500
29-07-12 0:00,6.4,6.2,6.4,6.3,155000
26-07-12 0:00,6.5,6.3,6.4,6.4,152000
25-07-12 0:00,6.5,6.4,6.4,6.4,38500
24-07-12 0:00,6.6,6.4,6.4,6.5,76500
23-07-12 0:00,6.5,6.3,6.3,6.3,64000
22-07-12 0:00,6.5,6.3,6.4,6.3,57500
19-07-12 0:00,6.6,6.4,6.4,6.4,83500
18-07-12 0:00,6.6,6.3,6.4,6.3,44500
17-07-12 0:00,6.5,6.3,6.4,6.4,33500
16-07-12 0:00,6.5,6.2,6.2,6.4,34500
15-07-12 0:00,6.6,6.3,6.4,6.3,61500
12-07-12 0:00,6.8,6.5,6.6,6.6,63000
11-07-12 0:00,6.7,6.3,6.3,6.4,35500
10-07-12 0:00,6.7,6.3,6.7,6.4,148500
09-07-12 0:00,6.9,6.7,6.7,6.7,44000
08-07-12 0:00,6.9,6.6,6.9,6.7,140500
05-07-12 0:00,6.9,6.8,6.9,6.8,45000
04-07-12 0:00,7,6.8,6.8,6.8,43500
03-07-12 0:00,7,6.8,6.9,6.9,40000
02-07-12 0:00,7,6.9,7,6.9,27000
28-06-12 0:00,7.3,7,7.1,7.1,87000
27-06-12 0:00,7.3,6.9,7,7.1,142000
26-06-12 0:00,7.1,6.7,6.9,7,74000
25-06-12 0:00,6.9,6.6,6.6,6.8,33500
24-06-12 0:00,7.1,6.8,6.9,6.8,37500
21-06-12 0:00,7,6.8,6.8,6.9,78000
20-06-12 0:00,7,6.8,6.8,6.8,41500
19-06-12 0:00,7,6.9,6.9,6.9,62000
18-06-12 0:00,7,6.9,6.9,6.9,82500
17-06-12 0:00,7,6.9,6.9,6.9,140500
14-06-12 0:00,7.1,6.9,6.9,6.9,62000
13-06-12 0:00,7,6.9,6.9,6.9,49500
12-06-12 0:00,7,6.9,6.9,6.9,62500
11-06-12 0:00,7,6.9,7,6.9,68000
